state,year,salary
Iowa,2014,59918
Iowa,2013,63405
Iowa,2012,57163
Iowa,2011,54853
Iowa,2010,55227
Iowa,2009,58091
Iowa,2008,57228
Iowa,2007,57964
Iowa,2006,58655
Iowa,2005,58510
Iowa,2004,56447
Iowa,2003,55291
Iowa,2002,56089
Iowa,2001,56872
Kansas,2016,58032
Kansas,2015,56768
Kansas,2014,55393
Kansas,2013,50403
Kansas,2012,53485
Kansas,2011,50406
Kansas,2010,51890
Kansas,2009,51215
Kansas,2008,54643
Kansas,2007,57477
Kansas,2006,55517
Kansas,2005,52882
Kansas,2004,53423
Kansas,2003,59096
Kansas,2002,58234
Kansas,2001,57481
Kentucky,2016,46345
Kentucky,2015,43857
Kentucky,2014,44346
Kentucky,2013,47303
Kentucky,2012,43947
Kentucky,2011,43534
Kentucky,2010,46313
Kentucky,2009,48863
Kentucky,2008,46963
Kentucky,2007,46757
Kentucky,2006,48123
Kentucky,2005,46178
Kentucky,2004,46325
Kentucky,2003,49348
Kentucky,2002,50231
Kentucky,2001,53348
Louisiana,2016,43103
Louisiana,2015,47515
Louisiana,2014,43952
Louisiana,2013,48933
Louisiana,2012,41806
Louisiana,2011,44410
Louisiana,2010,44280
Louisiana,2009,52035
Louisiana,2008,45154
Louisiana,2007,48963
Louisiana,2006,44471
Louisiana,2005,46853
Louisiana,2004,47391
Louisiana,2003,44767
Louisiana,2002,46468
Louisiana,2001,46249
Maine,2016,51950
Maine,2015,52516
Maine,2014,53595
Maine,2013,57925
Maine,2012,52581
Maine,2011,54279
Maine,2010,54005
Maine,2009,54404
Maine,2008,53902
Maine,2007,56762
Maine,2006,55627
Maine,2005,55267
Maine,2004,53765
Maine,2003,49585
Maine,2002,50356
Maine,2001,50815
Maryland,2016,75346
Maryland,2015,76146
Maryland,2014,78942
Maryland,2013,73099
Maryland,2012,76838
Maryland,2011,75232
Maryland,2010,72336
Maryland,2009,73513
Maryland,2008,72715
Maryland,2007,77782
Maryland,2006,77597
Maryland,2005,76141
Maryland,2004,74285
Maryland,2003,69894
Maryland,2002,77074
Maryland,2001,74296
Massachusetts,2016,73820
Massachusetts,2015,70214
Massachusetts,2014,65454
Massachusetts,2013,65906
Massachusetts,2012,68088
Massachusetts,2011,69156
Massachusetts,2010,68655
Massachusetts,2009,68000
Massachusetts,2008,68845
Massachusetts,2007,69288
Massachusetts,2006,67435
Massachusetts,2005,70485
Massachusetts,2004,67672
Massachusetts,2003,68078
Massachusetts,2002,68121
Massachusetts,2001,72523
Michigan,2016,58319
Michigan,2015,56083
Michigan,2014,53901
Michigan,2013,59622
Michigan,2012,53498
Michigan,2011,53390
Michigan,2010,52140
Michigan,2009,52677
Michigan,2008,56824
Michigan,2007,58511
Michigan,2006,59290
Michigan,2005,57796
Michigan,2004,54971
Michigan,2003,60152
Michigan,2002,58365
Michigan,2001,62522
Minnesota,2016,71728
Minnesota,2015,71114
Minnesota,2014,69696
Minnesota,2013,67798
Minnesota,2012,66098
Minnesota,2011,63156
Minnesota,2010,58951
Minnesota,2009,64240
Minnesota,2008,62687
Minnesota,2007,68808
Minnesota,2006,68508
Minnesota,2005,68218
Minnesota,2004,72986
Minnesota,2003,70574
Minnesota,2002,74635
Minnesota,2001,73117
Mississippi,2016,41983
Mississippi,2015,41426
Mississippi,2014,36816
Mississippi,2013,34085
Mississippi,2012,39192
Mississippi,2011,44882
Mississippi,2010,42996
Mississippi,2009,40175
Mississippi,2008,41597
Mississippi,2007,44182
Mississippi,2006,42332
Mississippi,2005,41366
Mississippi,2004,45213
Mississippi,2003,43726
Mississippi,2002,42197
Mississippi,2001,41861
Missouri,2016,56199
Missouri,2015,61249
Missouri,2014,58695
Missouri,2013,48804
Missouri,2012,53229
Missouri,2011,49998
Missouri,2010,51623
Missouri,2009,55855
Missouri,2008,52544
Missouri,2007,54523
Missouri,2006,54332
Missouri,2005,54088
Missouri,2004,54816
Missouri,2003,58468
Missouri,2002,58449
Missouri,2001,57376
Montana,2016,58302
Montana,2015,53177
Montana,2014,52965
Montana,2013,45534
Montana,2012,48227
Montana,2011,43994
Montana,2010,46511
Montana,2009,46313
Montana,2008,48963
Montana,2007,51738
Montana,2006,50098
Montana,2005,46950
Montana,2004,44173
Montana,2003,45570
Montana,2002,47598
Montana,2001,44589
Nebraska,2016,60651
Nebraska,2015,62571
Nebraska,2014,58944
Nebraska,2013,60735
Nebraska,2012,55830
Nebraska,2011,60748
Nebraska,2010,59157
Nebraska,2009,56801
Nebraska,2008,57897
Nebraska,2007,58279
Nebraska,2006,58678
Nebraska,2005,60300
Nebraska,2004,56961
Nebraska,2003,58751
Nebraska,2002,58476
Nebraska,2001,60529
Nevada,2016,56623
Nevada,2015,53812
Nevada,2014,51694
Nevada,2013,54646
Nevada,2012,50629
Nevada,2011,51384
Nevada,2010,57688
Nevada,2009,58908
Nevada,2008,62481
Nevada,2007,64067
Nevada,2006,63720
Nevada,2005,60660
Nevada,2004,61408
Nevada,2003,60368
Nevada,2002,61430
Nevada,2001,63016
New Hampshire,2016,77900
New Hampshire,2015,78299
New Hampshire,2014,76073
New Hampshire,2013,72831
New Hampshire,2012,72541
New Hampshire,2011,71960
New Hampshire,2010,75077
New Hampshire,2009,73450
New Hampshire,2008,75528
New Hampshire,2007,80088
New Hampshire,2006,75527
New Hampshire,2005,71702
New Hampshire,2004,73911
New Hampshire,2003,74240
New Hampshire,2002,75590
New Hampshire,2001,71244
New Jersey,2016,69940
New Jersey,2015,70728
New Jersey,2014,67622
New Jersey,2013,67198
New Jersey,2012,71336
New Jersey,2011,68091
New Jersey,2010,70947
New Jersey,2009,74189
New Jersey,2008,74535
New Jersey,2007,71712
New Jersey,2006,82948
New Jersey,2005,79735
New Jersey,2004,71907
New Jersey,2003,74879
New Jersey,2002,74561
New Jersey,2001,71854
New Mexico,2016,49493
New Mexico,2015,46684
New Mexico,2014,48388
New Mexico,2013,42336
New Mexico,2012,46448
New Mexico,2011,45856
New Mexico,2010,50853
New Mexico,2009,49869
New Mexico,2008,48052
New Mexico,2007,52569
New Mexico,2006,48785
New Mexico,2005,49006
New Mexico,2004,51466
New Mexico,2003,46902
New Mexico,2002,48448
New Mexico,2001,45974
New York,2016,62758
New York,2015,60017
New York,2014,56290
New York,2013,52665
New York,2012,51000
New York,2011,55309
New York,2010,56089
New York,2009,57513
New York,2008,57592
New York,2007,58007
New York,2006,58772
New York,2005,59361
New York,2004,58084
New York,2003,57167
New York,2002,57342
New York,2001,58451
North Carolina,2016,54920
North Carolina,2015,52559
North Carolina,2014,48490
North Carolina,2013,48840
North Carolina,2012,44446
North Carolina,2011,49378
North Carolina,2010,49384
North Carolina,2009,47995
North Carolina,2008,48997
North Carolina,2007,51570
North Carolina,2006,48503
North Carolina,2005,52918
North Carolina,2004,52346
North Carolina,2003,49807
North Carolina,2002,49894
North Carolina,2001,52966
North Dakota,2016,61478
North Dakota,2015,59406
North Dakota,2014,62944
North Dakota,2013,62347
North Dakota,2012,59649
North Dakota,2011,61562
North Dakota,2010,57469
North Dakota,2009,57351
North Dakota,2008,56645
North Dakota,2007,55946
North Dakota,2006,50027
North Dakota,2005,53089
North Dakota,2004,51021
North Dakota,2003,53990
North Dakota,2002,49463
North Dakota,2001,49678
Ohio,2016,55146
Ohio,2015,55150
